"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4605483","Mason Cobb","USC","Pac-12","defensive","QB HUR","0"
"4685282","Zion Branch","USC","Pac-12","defensive","TD","0"
"4432660","Anthony Beavers Jr.","USC","Pac-12","fumbles","REC","1"
"4373474","Jarrett Kingston","USC","Pac-12","defensive","PD","0"
"4428921","Jude Wolfe","USC","Pac-12","receiving","YDS","5"
"4569135","Kyon Barrs","USC","Pac-12","defensive","SOLO","4"
"4569135","Kyon Barrs","USC","Pac-12","defensive","PD","0"
"4429028","Chris Thompson Jr.","USC","Pac-12","defensive","SACKS","0"
"4428383","Christian Roland-Wallace","USC","Pac-12","defensive","TFL","2.5"
"4431048","Jacobe Covington","USC","Pac-12","interceptions","INT","1"
"4917949","Quinten Joyner","USC","Pac-12","rushing","CAR","16"
"4875309","Denis Lynch","USC","Pac-12","kicking","XPA","61"
"4870612","Zachariah Branch","USC","Pac-12","receiving","LONG","36"
"4685218","Tyrone Taleni","USC","Pac-12","defensive","PD","0"
"4429023","MarShawn Lloyd","USC","Pac-12","fumbles","REC","0"
"5121775","Elijah Hughes","USC","Pac-12","defensive","SOLO","2"
"4567506","Tahj Washington","USC","Pac-12","receiving","YDS","963"
"4361689","Solomon Byrd","USC","Pac-12","defensive","TFL","7.5"
"4432244","Romello Height","USC","Pac-12","defensive","SOLO","9"
"4431611","Caleb Williams","USC","Pac-12","fumbles","LOST","3"
"4918111","A'Marion Peterson","USC","Pac-12","rushing","TD","0"
"4870612","Zachariah Branch","USC","Pac-12","kickReturns","YDS","448"
